,StartStation,ArriveStation,count,s_j,s_w,e_j,e_w,count_std
162,上海虹桥,池州,4,121.3270978,31.19997528,117.5287308,30.62544258,1.6205995968966564
2728,潮汕,广州东,4,116.5944151,23.54253566,113.3311109,23.1559198,1.6205995968966564
200,上海虹桥,龙岩,4,121.3270978,31.19997528,117.0129122,25.10160431,1.6205995968966564
2755,烟台,菏泽,4,121.3893737,37.55444989,115.5132491,35.23672597,1.6205995968966564
3806,青岛,济南,4,120.3189288,36.07075992,116.9974535,36.67671802,1.6205995968966564
3837,青岛北,曹县,4,120.3189288,36.07075992,115.5882856,34.83214574,1.6205995968966564
2750,烟台,曲阜东,4,121.3893737,37.55444989,117.0754355,35.56191191,1.6205995968966564
2556,深圳,西安,4,114.1236341,22.53793636,108.9693181,34.28284366,1.6205995968966564
173,上海虹桥,界首南,4,121.3270978,31.19997528,-1.0,-1.0,1.6205995968966564
177,上海虹桥,芜湖,4,121.3270978,31.19997528,118.4030414,31.35449817,1.6205995968966564
193,上海虹桥,长春西,4,121.3270978,31.19997528,125.2065635,43.88331342,1.6205995968966564
419,兰州,上海,4,103.8576768,36.04118877,121.4621369,31.25561813,1.6205995968966564
3002,红果,昆明,4,104.4721745,25.72082097,102.7283354,25.02160539,1.6205995968966564
410,六安,温州南,4,116.5066848,31.72110826,120.5915271,27.9719922,1.6205995968966564
147,上海虹桥,宣城,4,121.3270978,31.19997528,118.7802673,30.95275599,1.6205995968966564
3824,青岛北,兰州西,4,120.3189288,36.07075992,103.7591595,36.07461705,1.6205995968966564
2939,福州,永安南,4,119.3265624,26.11982665,117.3849206,25.98049642,1.6205995968966564
2720,滨海,天津,4,117.6181534,39.08764455,117.2167068,39.14138387,1.6205995968966564
3836,青岛北,曲阜东,4,120.3189288,36.07075992,117.0754355,35.56191191,1.6205995968966564
115,上海虹桥,亳州南,4,121.3270978,31.19997528,115.8039163,33.85413711,1.6205995968966564
2599,深圳北,昆明南,4,114.0354307,22.6155135,102.7283354,25.02160539,1.6205995968966564
3786,青城山,成都,4,103.6128703,30.89783801,104.0797802,30.70361284,1.6205995968966564
3789,青岛,上海虹桥,4,120.3189288,36.07075992,121.3270978,31.19997528,1.6205995968966564
479,兰州西,青岛北,4,103.7591595,36.07461705,120.3189288,36.07075992,1.6205995968966564
3829,青岛北,哈尔滨西,4,120.3189288,36.07075992,126.5844437,45.71280579,1.6205995968966564
2990,离堆公园,犀浦,4,103.6303675,30.99955796,103.9788295,30.76328592,1.6205995968966564
2590,深圳北,厦门北,4,114.0354307,22.6155135,118.0805353,24.64265118,1.6205995968966564
133,上海虹桥,合肥南,4,121.3270978,31.19997528,117.2969056,31.80434321,1.6205995968966564
470,兰州西,杭州东,4,103.7591595,36.07461705,120.2193726,30.29735829,1.6205995968966564
467,兰州西,广州南,4,103.7591595,36.07461705,113.2759886,22.99449891,1.6205995968966564
2936,福州,成都东,4,119.3265624,26.11982665,104.1477187,30.63513395,1.6205995968966564
3826,青岛北,北京南,4,120.3189288,36.07075992,116.3854936,39.87101558,1.6205995968966564
3797,青岛,威海,4,120.3189288,36.07075992,122.1509449,37.43282054,1.6205995968966564
458,兰州西,南昌西,4,103.7591595,36.07461705,115.7990731,28.62877887,1.6205995968966564
2992,秦皇岛,北京,4,-1.0,-1.0,116.4337332,39.90979135,1.6205995968966564
24,三门峡南,郑州东,4,111.1669302,34.75435122,113.7855473,34.76545884,1.6205995968966564
408,六安,上海虹桥,4,116.5066848,31.72110826,121.3270978,31.19997528,1.6205995968966564
3702,长沙南,宁波,4,113.0718382,28.15265108,121.5428536,29.86758477,1.6205995968966564
3707,长沙南,成都东,4,113.0718382,28.15265108,104.1477187,30.63513395,1.6205995968966564
2409,沈阳南,赤峰,4,123.3998531,41.80100261,118.9662055,42.26257881,1.6205995968966564
3711,长沙南,汕头,4,113.0718382,28.15265108,116.7612582,23.37774904,1.6205995968966564
296,乌鲁木齐,喀什,4,87.58966482,43.78527752,76.05582813,39.49881439,1.6205995968966564
612,北京南,合肥南,4,116.3854936,39.87101558,117.2969056,31.80434321,1.6205995968966564
2654,清河,张家口,4,116.3214858,40.0478317,114.8893434,40.81623702,1.6205995968966564
3708,长沙南,昆明南,4,113.0718382,28.15265108,102.7283354,25.02160539,1.6205995968966564
293,乌鲁木齐,博尔塔拉,4,87.58966482,43.78527752,-1.0,-1.0,1.6205995968966564
17,三明北,福州,4,117.8132354,26.38205752,119.3265624,26.11982665,1.6205995968966564
299,乌鲁木齐,富蕴,4,87.58966482,43.78527752,-1.0,-1.0,1.6205995968966564
596,北京北,大同南,4,116.3606506,39.9484103,113.3096957,40.12605689,1.6205995968966564
6,万州北,重庆西,4,108.4063093,30.76104248,106.435498,29.43649296,1.6205995968966564
2396,沈阳北,赤峰,4,123.4424124,41.82534092,118.9662055,42.26257881,1.6205995968966564
632,北京南,济南西,4,116.3854936,39.87101558,116.8982263,36.67470433,1.6205995968966564
600,北京北,怀柔北,4,116.3606506,39.9484103,116.6992889,40.41460543,1.6205995968966564
597,北京北,太子城,4,116.3606506,39.9484103,-1.0,-1.0,1.6205995968966564
3715,长沙南,温州南,4,113.0718382,28.15265108,120.5915271,27.9719922,1.6205995968966564
618,北京南,大连北,4,116.3854936,39.87101558,121.6138656,39.02285489,1.6205995968966564
3954,龙岩,福鼎,4,117.0129122,25.10160431,120.1960735,27.2883882,1.6205995968966564
2372,沈阳北,丹东,3,123.4424124,41.82534092,124.3945562,40.13060834,1.2134054989615908
3399,通辽,霍林郭勒,3,122.2775491,43.61141876,119.6757894,45.54022019,1.2134054989615908
916,南昌西,深圳北,3,115.7990731,28.62877887,114.0354307,22.6155135,1.2134054989615908
1430,宁波,北京南,3,121.5428536,29.86758477,116.3854936,39.87101558,1.2134054989615908
1094,呼和浩特,乌海西,3,-1.0,-1.0,-1.0,-1.0,1.2134054989615908
3710,长沙南,永州,3,113.0718382,28.15265108,111.5774556,26.46019271,1.2134054989615908
3581,重庆西,重  庆西,3,106.435498,29.43649296,-1.0,-1.0,1.2134054989615908
375,佳木斯,北京,3,130.3896952,46.81085466,116.4337332,39.90979135,1.2134054989615908
3473,郑州东,广州南,3,113.7855473,34.76545884,113.2759886,22.99449891,1.2134054989615908
2183,桂林北,北海,3,110.2892136,25.26723504,109.1348006,21.45850273,1.2134054989615908
2054,昆明南,长沙南,3,102.7283354,25.02160539,113.0718382,28.15265108,1.2134054989615908
3272,贵阳北,开阳,3,106.7099004,26.56252613,-1.0,-1.0,1.2134054989615908
3179,西安,榆林,3,108.9693181,34.28284366,109.7265874,38.2799213,1.2134054989615908
139,上海虹桥,天津西,3,121.3270978,31.19997528,117.1699861,39.1642329,1.2134054989615908
460,兰州西,嘉峪关南,3,103.7591595,36.07461705,98.26089843,39.77090402,1.2134054989615908
3076,荣成,济南,3,-1.0,-1.0,116.9974535,36.67671802,1.2134054989615908
2189,桂林北,深圳北,3,110.2892136,25.26723504,114.0354307,22.6155135,1.2134054989615908
2051,昆明南,贵阳北,3,102.7283354,25.02160539,106.7099004,26.56252613,1.2134054989615908
2177,格尔木,西宁,3,94.91371095,36.38849969,101.8204401,36.62613098,1.2134054989615908
1675,广州北,深圳北,3,113.2110571,23.38276453,114.0354307,22.6155135,1.2134054989615908
3018,绵阳,成都东,3,104.7239683,31.46498409,104.1477187,30.63513395,1.2134054989615908
3207,西安北,宁强南,3,108.9693181,34.28284366,-1.0,-1.0,1.2134054989615908
1892,成都东,江油,3,104.1477187,30.63513395,104.7760852,31.78764484,1.2134054989615908
353,亳州南,温州南,3,115.8039163,33.85413711,120.5915271,27.9719922,1.2134054989615908
2029,昆明南,南京南,3,102.7283354,25.02160539,118.8045165,31.97440034,1.2134054989615908
1128,哈尔滨,大庆西,3,126.638843,45.76694434,124.8926415,46.66245691,1.2134054989615908
3330,辽宁朝阳,沈阳南,3,-1.0,-1.0,123.3998531,41.80100261,1.2134054989615908
108,上海南,贵阳,3,121.4359887,31.15901797,106.7099004,26.56252613,1.2134054989615908
684,北京西,成都东,3,116.3275639,39.90092693,104.1477187,30.63513395,1.2134054989615908
881,南昌,广州东,3,115.9255942,28.66836716,113.3311109,23.1559198,1.2134054989615908
622,北京南,宁波,3,116.3854936,39.87101558,121.5428536,29.86758477,1.2134054989615908
2925,福州,南平市,3,119.3265624,26.11982665,-1.0,-1.0,1.2134054989615908
227,丰都,重庆北,3,107.6966438,29.85176405,106.5574405,29.61373264,1.2134054989615908
1195,嘉峪关,兰州,3,98.26089843,39.77090402,103.8576768,36.04118877,1.2134054989615908
3785,青城山,安靖,3,103.6128703,30.89783801,-1.0,-1.0,1.2134054989615908
2212,榆林,西安,3,109.7265874,38.2799213,108.9693181,34.28284366,1.2134054989615908
681,北京西,广州南,3,116.3275639,39.90092693,113.2759886,22.99449891,1.2134054989615908
1604,广元,贵阳北,3,105.8280546,32.4563626,106.7099004,26.56252613,1.2134054989615908
1780,彭州,安靖,3,103.9314266,30.98545812,-1.0,-1.0,1.2134054989615908
3128,襄阳,广州东,3,112.1612316,32.06431898,113.3311109,23.1559198,1.2134054989615908
360,伊宁,乌鲁木齐,3,81.50966716,43.96167639,87.58966482,43.78527752,1.2134054989615908
275,乌兰浩特,长春,3,122.069636,46.07740311,125.330733,43.91760214,1.2134054989615908
3832,青岛北,威海,3,120.3189288,36.07075992,122.1509449,37.43282054,1.2134054989615908
1218,大同,太原,3,113.3096957,40.12605689,112.594152,37.86640734,1.2134054989615908
3515,重庆北,丰都,3,106.5574405,29.61373264,107.6966438,29.85176405,1.2134054989615908
2513,海拉尔,哈尔滨,3,119.74712,49.23503712,126.638843,45.76694434,1.2134054989615908
903,南昌西,南丰,3,115.7990731,28.62877887,116.6061258,27.29207599,1.2134054989615908
476,兰州西,郑州东,3,103.7591595,36.07461705,113.7855473,34.76545884,1.2134054989615908
2594,深圳北,岳阳东,3,114.0354307,22.6155135,113.2146284,29.37198588,1.2134054989615908
1113,呼和浩特东,鄂尔多斯,3,-1.0,-1.0,-1.0,-1.0,1.2134054989615908
367,佛山西,深圳,3,113.1104704,23.05302647,114.1236341,22.53793636,1.2134054989615908
455,兰州西,乌鲁木齐,3,103.7591595,36.07461705,87.58966482,43.78527752,1.2134054989615908
2196,桦南,佳木斯,3,130.5895034,46.25003117,130.3896952,46.81085466,1.2134054989615908
3923,齐齐哈尔,大连,3,124.0014228,47.34600489,121.639161,38.92851844,1.2134054989615908
1420,娄底南,长沙南,3,112.0127097,27.74587424,113.0718382,28.15265108,1.2134054989615908
1324,天津北,宝坻,3,117.2167068,39.14138387,117.342212,39.72159789,1.2134054989615908
1349,太原,大同,3,112.594152,37.86640734,113.3096957,40.12605689,1.2134054989615908
1067,吉林,大连北,3,126.5836551,43.8645571,121.6138656,39.02285489,1.2134054989615908
1066,吉林,大连,3,126.5836551,43.8645571,121.639161,38.92851844,1.2134054989615908
425,兰州,嘉峪关,3,103.8576768,36.04118877,98.26089843,39.77090402,1.2134054989615908
2129,杭州东,合肥南,3,120.2193726,30.29735829,117.2969056,31.80434321,1.2134054989615908
3534,重庆北,石柱县,3,106.5574405,29.61373264,108.1039899,29.97159653,1.2134054989615908
639,北京南,福州,3,116.3854936,39.87101558,119.3265624,26.11982665,1.2134054989615908
174,上海虹桥,石家庄,3,121.3270978,31.19997528,114.4909897,38.01654849,1.2134054989615908
1062,吉林,北京南,3,126.5836551,43.8645571,116.3854936,39.87101558,1.2134054989615908
3425,邵阳,深圳北,3,111.4676555,27.21939368,114.0354307,22.6155135,1.2134054989615908
1867,成都东,乐山,3,104.1477187,30.63513395,103.5829561,29.75565701,1.2134054989615908
3701,长沙南,娄底南,3,113.0718382,28.15265108,112.0127097,27.74587424,1.2134054989615908
2111,杭州,西安,3,120.1894672,30.24987743,108.9693181,34.28284366,1.2134054989615908
3549,重庆西,北京西,3,106.435498,29.43649296,116.3275639,39.90092693,1.2134054989615908
3421,邵东,长沙南,3,111.7566227,27.27766191,113.0718382,28.15265108,1.2134054989615908
2653,清河,延庆,3,116.3214858,40.0478317,115.9973437,40.48031576,1.2134054989615908
2091,本溪,沈阳,3,123.7740303,41.33369759,123.3998531,41.80100261,1.2134054989615908
1375,太原南,晋城东,3,112.6170418,37.79764834,112.8801411,35.48139214,1.2134054989615908
1374,太原南,成都东,3,112.6170418,37.79764834,104.1477187,30.63513395,1.2134054989615908
1026,合肥,北京,3,117.3240719,31.89161249,116.4337332,39.90979135,1.2134054989615908
1372,太原南,宝鸡南,3,112.6170418,37.79764834,107.2377341,34.34035844,1.2134054989615908
1370,太原南,大同南,3,112.6170418,37.79764834,113.3096957,40.12605689,1.2134054989615908
3542,重庆北,长寿北,3,106.5574405,29.61373264,107.0819381,29.88567168,1.2134054989615908
281,乌海西,呼和浩特,3,-1.0,-1.0,-1.0,-1.0,1.2134054989615908
3419,邯郸东,石家庄,3,114.5657319,36.62607277,114.4909897,38.01654849,1.2134054989615908
1038,合肥南,北京南,3,117.2969056,31.80434321,116.3854936,39.87101558,1.2134054989615908
3418,邯郸东,天津西,3,114.5657319,36.62607277,117.1699861,39.1642329,1.2134054989615908
405,克拉玛依,乌鲁木齐,3,84.90176868,45.53408468,87.58966482,43.78527752,1.2134054989615908
1044,合肥南,宣城,3,117.2969056,31.80434321,118.7802673,30.95275599,1.2134054989615908
998,厦门北,武汉,3,118.0805353,24.64265118,114.4308852,30.61318746,1.2134054989615908
1231,大同南,运城北,3,113.3096957,40.12605689,110.9905591,35.10469381,1.2134054989615908
2533,淮北,芜湖,3,116.8103461,33.97267381,118.4030414,31.35449817,1.2134054989615908
1407,威海,济南东,3,122.1509449,37.43282054,117.0361065,36.6868321,1.2134054989615908
1327,天津西,上海虹桥,3,117.1699861,39.1642329,121.3270978,31.19997528,1.2134054989615908
383,佳木斯,桦南,3,130.3896952,46.81085466,130.5895034,46.25003117,1.2134054989615908
1760,建平,沈阳,3,-1.0,-1.0,123.3998531,41.80100261,1.2134054989615908
957,厦门,三明北,3,118.1225949,24.47395893,117.8132354,26.38205752,1.2134054989615908
961,厦门,南昌,3,118.1225949,24.47395893,115.9255942,28.66836716,1.2134054989615908
2061,晋城东,太原南,3,112.8801411,35.48139214,112.6170418,37.79764834,1.2134054989615908
446,兰州,长庆桥,3,103.8576768,36.04118877,-1.0,-1.0,1.2134054989615908
9,三亚,海口,3,109.4993981,18.3023836,110.1689779,20.03367376,1.2134054989615908
155,上海虹桥,昆明南,3,121.3270978,31.19997528,102.7283354,25.02160539,1.2134054989615908
1876,成都东,太原南,3,104.1477187,30.63513395,112.6170418,37.79764834,1.2134054989615908
972,厦门,福鼎,3,118.1225949,24.47395893,120.1960735,27.2883882,1.2134054989615908
973,厦门,诏安,3,118.1225949,24.47395893,117.1053059,23.7782777,1.2134054989615908
3692,长沙南,北京西,3,113.0718382,28.15265108,116.3275639,39.90092693,1.2134054989615908
158,上海虹桥,杭州东,3,121.3270978,31.19997528,120.2193726,30.29735829,1.2134054989615908
1869,成都东,北京西,3,104.1477187,30.63513395,116.3275639,39.90092693,1.2134054989615908
2144,杭州东,苍南,3,120.2193726,30.29735829,120.4180294,27.53411378,1.2134054989615908
3149,西宁,格尔木,3,101.8204401,36.62613098,94.91371095,36.38849969,1.2134054989615908
437,兰州,武威,3,103.8576768,36.04118877,102.6303861,37.90982946,1.2134054989615908
435,兰州,敦煌,3,103.8576768,36.04118877,94.7923428,40.17415559,1.2134054989615908
290,乌鲁木齐,兰州西,3,87.58966482,43.78527752,103.7591595,36.07461705,1.2134054989615908
288,乌鲁木齐,克拉玛依,3,87.58966482,43.78527752,84.90176868,45.53408468,1.2134054989615908
984,厦门北,北京南,3,118.0805353,24.64265118,116.3854936,39.87101558,1.2134054989615908
986,厦门北,南京南,3,118.0805353,24.64265118,118.8045165,31.97440034,1.2134054989615908
2140,杭州东,温州南,3,120.2193726,30.29735829,120.5915271,27.9719922,1.2134054989615908
287,乌鲁木齐,伊宁,3,87.58966482,43.78527752,81.50966716,43.96167639,1.2134054989615908
2880,石家庄,上海虹桥,3,114.4909897,38.01654849,121.3270978,31.19997528,1.2134054989615908
391,佳木斯,鹤岗,3,130.3896952,46.81085466,130.2906884,47.34645636,1.2134054989615908
1340,天津西,邯郸东,3,117.1699861,39.1642329,114.5657319,36.62607277,1.2134054989615908
1653,广州东,南昌,3,113.3311109,23.1559198,115.9255942,28.66836716,1.2134054989615908
3784,霍林郭勒,通辽,3,119.6757894,45.54022019,122.2775491,43.61141876,1.2134054989615908
868,南昌,上海虹桥,3,115.9255942,28.66836716,121.3270978,31.19997528,1.2134054989615908
794,南京南,昆明南,3,118.8045165,31.97440034,102.7283354,25.02160539,1.2134054989615908
556,北京,日照,3,116.4337332,39.90979135,119.5392171,35.40980994,1.2134054989615908
778,南京南,上海,3,118.8045165,31.97440034,121.4621369,31.25561813,1.2134054989615908
3047,苍南,南京南,3,120.4180294,27.53411378,118.8045165,31.97440034,1.2134054989615908
2339,江油,宜宾西,3,104.7760852,31.78764484,104.6075926,28.75725055,1.2134054989615908
782,南京南,南宁东,3,118.8045165,31.97440034,108.321642,22.83292908,1.2134054989615908
3095,萍乡,南昌,3,113.8477277,27.65331565,115.9255942,28.66836716,1.2134054989615908
2450,济南,威海,3,116.9974535,36.67671802,122.1509449,37.43282054,1.2134054989615908
3638,长春,北京,3,125.330733,43.91760214,116.4337332,39.90979135,1.2134054989615908
1999,昆明,上海南,3,102.7283354,25.02160539,121.4359887,31.15901797,1.2134054989615908
16,三明北,厦门,3,117.8132354,26.38205752,118.1225949,24.47395893,1.2134054989615908
543,北京,哈尔滨西,3,116.4337332,39.90979135,126.5844437,45.71280579,1.2134054989615908
2904,石家庄,青岛北,3,114.4909897,38.01654849,120.3189288,36.07075992,1.2134054989615908
268,乌兰察布,包头,3,-1.0,-1.0,109.8423295,40.61247529,1.2134054989615908
2688,温州南,郑州东,3,120.5915271,27.9719922,113.7855473,34.76545884,1.2134054989615908
1133,哈尔滨,牡丹江,3,126.638843,45.76694434,129.6194109,44.59623665,1.2134054989615908
540,北京,合肥,3,116.4337332,39.90979135,117.3240719,31.89161249,1.2134054989615908
2287,永州,长沙南,3,111.5774556,26.46019271,113.0718382,28.15265108,1.2134054989615908
1528,宝鸡南,太原南,3,107.2377341,34.34035844,112.6170418,37.79764834,1.2134054989615908
2908,石柱县,重庆北,3,108.1039899,29.97159653,106.5574405,29.61373264,1.2134054989615908
2624,深圳北,邵阳,3,114.0354307,22.6155135,111.4676555,27.21939368,1.2134054989615908
3480,郑州东,杭州东,3,113.7855473,34.76545884,120.2193726,30.29735829,1.2134054989615908
3627,长庆桥,兰州,3,-1.0,-1.0,103.8576768,36.04118877,1.2134054989615908
77,上海,连云港,3,121.4621369,31.25561813,119.1700137,34.61480282,1.2134054989615908
534,北京,佳木斯,3,116.4337332,39.90979135,130.3896952,46.81085466,1.2134054989615908
3048,苍南,合肥南,3,120.4180294,27.53411378,117.2969056,31.80434321,1.2134054989615908
593,北京北,包头,3,116.3606506,39.9484103,109.8423295,40.61247529,1.2134054989615908
1516,宝坻,天津北,3,117.342212,39.72159789,117.2167068,39.14138387,1.2134054989615908
3346,运城北,大同南,3,110.9905591,35.10469381,113.3096957,40.12605689,1.2134054989615908
584,北京,长春,3,116.4337332,39.90979135,125.330733,43.91760214,1.2134054989615908
3656,长春,舒兰,3,125.330733,43.91760214,126.9607403,44.41343508,1.2134054989615908
3657,长春,蛟河西,3,125.330733,43.91760214,127.3579239,43.7314438,1.2134054989615908
1685,广州南,北京西,3,113.2759886,22.99449891,116.3275639,39.90092693,1.2134054989615908
1263,大连,吉林,3,121.639161,38.92851844,126.5836551,43.8645571,1.2134054989615908
3051,苍南,杭州东,3,120.4180294,27.53411378,120.2193726,30.29735829,1.2134054989615908
3353,连云港,上海,3,119.1700137,34.61480282,121.4621369,31.25561813,1.2134054989615908
3486,郑州东,温州南,3,113.7855473,34.76545884,120.5915271,27.9719922,1.2134054989615908
3661,长春西,吉林,3,125.2065635,43.88331342,126.5836551,43.8645571,1.2134054989615908
3485,郑州东,洛阳龙门,3,113.7855473,34.76545884,-1.0,-1.0,1.2134054989615908
32,上海,北京,3,121.4621369,31.25561813,116.4337332,39.90979135,1.2134054989615908
35,上海,南京南,3,121.4621369,31.25561813,118.8045165,31.97440034,1.2134054989615908
1541,宿迁,南京,3,-1.0,-1.0,118.8047545,32.09280914,1.2134054989615908
1981,新郑机场,焦作,3,-1.0,-1.0,113.2415024,35.22861387,1.2134054989615908
3200,西安北,嘉峪关南,3,108.9693181,34.28284366,98.26089843,39.77090402,1.2134054989615908
721,北京西,长沙南,3,116.3275639,39.90092693,113.0718382,28.15265108,1.2134054989615908
2679,温州南,杭州东,3,120.5915271,27.9719922,120.2193726,30.29735829,1.2134054989615908
3663,长春西,延吉西,3,125.2065635,43.88331342,129.5034439,42.89294827,1.2134054989615908
2673,温州南,南昌西,3,120.5915271,27.9719922,115.7990731,28.62877887,1.2134054989615908
718,北京西,重庆西,3,116.3275639,39.90092693,106.435498,29.43649296,1.2134054989615908
1989,日照,北京,3,119.5392171,35.40980994,116.4337332,39.90979135,1.2134054989615908
1278,大连,齐齐哈尔,3,121.639161,38.92851844,124.0014228,47.34600489,1.2134054989615908
322,乔庄东,北京西,3,-1.0,-1.0,116.3275639,39.90092693,1.2134054989615908
1202,嘉峪关南,西安北,3,98.26089843,39.77090402,108.9693181,34.28284366,1.2134054989615908
2462,济南,菏泽,3,116.9974535,36.67671802,115.5132491,35.23672597,1.2134054989615908
2026,昆明南,上海虹桥,3,102.7283354,25.02160539,121.3270978,31.19997528,1.2134054989615908
1153,哈尔滨西,北京,3,126.5844437,45.71280579,116.4337332,39.90979135,1.2134054989615908
506,包头,乌兰察布,3,109.8423295,40.61247529,-1.0,-1.0,1.2134054989615908
2602,深圳北,桂林北,3,114.0354307,22.6155135,110.2892136,25.26723504,1.2134054989615908
3847,青岛北,石家庄,3,120.3189288,36.07075992,114.4909897,38.01654849,1.2134054989615908
2472,济南东,烟台,3,117.0361065,36.6868321,121.3893737,37.55444989,1.2134054989615908
3237,诏安,厦门,3,117.1053059,23.7782777,118.1225949,24.47395893,1.2134054989615908
838,南宁东,南京南,3,108.321642,22.83292908,118.8045165,31.97440034,1.2134054989615908
2603,深圳北,梅州西,3,114.0354307,22.6155135,116.1377335,24.26543276,1.2134054989615908
3502,鄂尔多斯,呼和浩特东,3,-1.0,-1.0,-1.0,-1.0,1.2134054989615908
613,北京南,吉林,3,116.3854936,39.87101558,126.5836551,43.8645571,1.2134054989615908
1510,宜昌东,武昌,3,111.377275,30.66404385,114.3242621,30.53460349,1.2134054989615908
1135,哈尔滨,绥芬河,3,126.638843,45.76694434,131.1642506,44.3985498,1.2134054989615908
528,北京,上海,3,116.4337332,39.90979135,121.4621369,31.25561813,1.2134054989615908
2410,沈阳南,辽宁朝阳,3,123.3998531,41.80100261,-1.0,-1.0,1.2134054989615908
1145,哈尔滨东,海拉尔,3,126.7174209,45.79423277,119.74712,49.23503712,1.2134054989615908
2470,济南东,威海,3,117.0361065,36.6868321,122.1509449,37.43282054,1.2134054989615908
1757,延庆,清河,3,115.9973437,40.48031576,116.3214858,40.0478317,1.2134054989615908
1489,安靖,彭州,3,-1.0,-1.0,103.9314266,30.98545812,1.2134054989615908
1493,宋城路,郑州,3,-1.0,-1.0,113.6661637,34.75253549,1.2134054989615908
833,南宁,靖西,3,108.321642,22.83292908,-1.0,-1.0,1.2134054989615908
3031,舒兰,长春,3,126.9607403,44.41343508,125.330733,43.91760214,1.2134054989615908
3861,靖西,南宁,3,-1.0,-1.0,108.321642,22.83292908,1.2134054989615908
2248,武汉,厦门北,3,114.4308852,30.61318746,118.0805353,24.64265118,1.2134054989615908
1750,延吉西,长春西,3,129.5034439,42.89294827,125.2065635,43.88331342,1.2134054989615908
610,北京南,厦门北,3,116.3854936,39.87101558,118.0805353,24.64265118,1.2134054989615908
510,包头,北京北,3,109.8423295,40.61247529,116.3606506,39.9484103,1.2134054989615908
3066,茂名,广州南,3,110.8545253,21.68666451,113.2759886,22.99449891,1.2134054989615908
859,南宁东,陆川,3,108.321642,22.83292908,110.2645141,22.31616943,1.2134054989615908
2733,潼南,重庆北,2,105.8840284,30.22579,106.5574405,29.61373264,0.8062114010265249
1941,承德,石家庄,2,117.9608421,40.97163181,114.4909897,38.01654849,0.8062114010265249
2678,温州南,徐州东,2,120.5915271,27.9719922,117.3097118,34.27266147,0.8062114010265249
2700,湛江,深圳东,2,110.3969119,21.19320618,114.1252525,22.60748366,0.8062114010265249
2661,温州,成都东,2,120.6915818,27.98592789,104.1477187,30.63513395,0.8062114010265249
2677,温州南,宜昌东,2,120.5915271,27.9719922,111.377275,30.66404385,0.8062114010265249
2707,湛江西,深圳北,2,110.2870213,21.22211413,114.0354307,22.6155135,0.8062114010265249
2680,温州南,武汉,2,120.5915271,27.9719922,114.4308852,30.61318746,0.8062114010265249
2681,温州南,毕节,2,120.5915271,27.9719922,-1.0,-1.0,0.8062114010265249
2682,温州南,济南东,2,120.5915271,27.9719922,117.0361065,36.6868321,0.8062114010265249
3230,西安北,金华南,2,108.9693181,34.28284366,119.7406884,29.1235331,0.8062114010265249
2730,潮汕,梅州西,2,116.5944151,23.54253566,116.1377335,24.26543276,0.8062114010265249
1868,成都东,兰州,2,104.1477187,30.63513395,103.8576768,36.04118877,0.8062114010265249
1865,成都东,上海,2,104.1477187,30.63513395,121.4621369,31.25561813,0.8062114010265249
1901,成都东,福州,2,104.1477187,30.63513395,119.3265624,26.11982665,0.8062114010265249
3227,西安北,郑州东,2,108.9693181,34.28284366,113.7855473,34.76545884,0.8062114010265249
2664,温州,牡丹江,2,120.6915818,27.98592789,129.6194109,44.59623665,0.8062114010265249
1897,成都东,湛江,2,104.1477187,30.63513395,110.3969119,21.19320618,0.8062114010265249
3226,西安北,连云港,2,108.9693181,34.28284366,119.1700137,34.61480282,0.8062114010265249
1858,成都,西宁,2,104.0797802,30.70361284,101.8204401,36.62613098,0.8062114010265249
1929,扬州,兰州,2,119.3576869,32.39546206,103.8576768,36.04118877,0.8062114010265249
3243,贵阳,上海南,2,106.7099004,26.56252613,121.4359887,31.15901797,0.8062114010265249
1861,成都,银川,2,104.0797802,30.70361284,106.1811303,38.49835688,0.8062114010265249
1862,成都,青城山,2,104.0797802,30.70361284,103.6128703,30.89783801,0.8062114010265249
2675,温州南,安庆,2,120.5915271,27.9719922,117.0719849,30.5546491,0.8062114010265249
1896,成都东,温州,2,104.1477187,30.63513395,120.6915818,27.98592789,0.8062114010265249
1863,成都,青岛,2,104.0797802,30.70361284,120.3189288,36.07075992,0.8062114010265249
2736,濮阳,郑州,2,-1.0,-1.0,113.6661637,34.75253549,0.8062114010265249
2676,温州南,宜宾西,2,120.5915271,27.9719922,104.6075926,28.75725055,0.8062114010265249
2948,福州,萍乡北,2,119.3265624,26.11982665,113.8477277,27.65331565,0.8062114010265249
1928,扬州,上海虹桥,2,119.3576869,32.39546206,121.3270978,31.19997528,0.8062114010265249
1931,扬州,成都,2,119.3576869,32.39546206,104.0797802,30.70361284,0.8062114010265249
1898,成都东,烟台,2,104.1477187,30.63513395,121.3893737,37.55444989,0.8062114010265249
2949,福州,西安北,2,119.3265624,26.11982665,108.9693181,34.28284366,0.8062114010265249
3241,诸暨,杭州东,2,120.1915408,29.73359558,120.2193726,30.29735829,0.8062114010265249
2660,温州,广州,2,120.6915818,27.98592789,113.2641069,23.15467406,0.8062114010265249
1895,成都东,深圳东,2,104.1477187,30.63513395,114.1252525,22.60748366,0.8062114010265249
3231,西安北,青岛北,2,108.9693181,34.28284366,120.3189288,36.07075992,0.8062114010265249
1904,成都东,秦皇岛,2,104.1477187,30.63513395,-1.0,-1.0,0.8062114010265249
